countryid,regionid,description
81,1000,Guernsey (general)
82,1001,Western Region
82,1002,Volta Region
82,1003,Upper West Region
82,1004,Upper East Region
82,1005,Northern Region
82,1006,Greater Accra Region
82,1007,Eastern Region
82,1008,Central Region
82,1009,Brong-Ahafo
82,1010,Ashanti Region
84,1011,Qaasuitsup
84,1012,Kujalleq
84,1013,Qeqqata
84,1014,Sermersooq
85,1015,Western Division
85,1016,Upper River
85,1017,North Bank Division
85,1018,Central River Division
85,1019,Lower River Division
85,1020,City of Banjul
86,1021,Prefecture de Yomou
86,1022,Prefecture de Tougue
86,1023,Prefecture de Telimele
86,1024,Prefecture de Siguiri
86,1025,Prefecture de Pita
86,1026,Prefecture de Nzerekore
86,1027,Prefecture de Mamou
86,1028,Prefecture de Mali
86,1029,Prefecture de Macenta
86,1030,Prefecture de Labe
86,1031,Prefecture de Kouroussa
86,1032,Prefecture de Koundara
86,1033,Prefecture de Kissidougou
86,1034,Prefecture de Kindia
86,1035,Prefecture de Kerouane
86,1036,Prefecture de Kankan
86,1037,Prefecture de Guekedou
86,1038,Prefecture de Gaoual
86,1039,Prefecture de Fria
86,1040,Prefecture de Forecariah
86,1041,Prefecture de Faranah
86,1042,Prefecture de Dubreka
86,1043,Prefecture de Dinguiraye
86,1044,Prefecture de Dalaba
86,1045,Prefecture de Dabola
86,1046,Capitale d'Etat-Zone Speciale de Conakry
86,1047,Prefecture de Boke
86,1048,Prefecture de Boffa
86,1049,Prefecture de Beyla
86,1050,Prefecture de Coyah
86,1051,Prefecture de Koubia
86,1052,Prefecture de Lelouma
86,1053,Prefecture de Lola
86,1054,Prefecture de Mandiana
87,1055,Guadeloupe
88,1056,Provincia de Annobon
88,1057,Provincia de Bioko Norte
88,1058,Provincia de Bioko Sur
88,1059,Provincia de Centro Sur
88,1060,Provincia de Kie-Ntem
88,1061,Provincia de Litoral
88,1062,Provincia de Wele-Nzas
89,1063,Mount Athos
89,1064,Attica
89,1065,Central Greece
89,1066,Central Macedonia
89,1067,Crete
89,1068,East Macedonia and Thrace
89,1069,Epirus
89,1070,Ionian Islands
89,1071,North Aegean
89,1072,Peloponnese
89,1073,South Aegean
89,1074,Thessaly
89,1075,West Greece
89,1076,West Macedonia
91,1077,Departamento de Zacapa
91,1078,Departamento de Totonicapan
91,1079,Departamento de Suchitepequez
91,1080,Departamento de Solola
91,1081,Departamento de Santa Rosa
91,1082,Departamento de San Marcos
91,1083,Departamento de Sacatepequez
91,1084,Departamento de Retalhuleu
91,1085,Departamento del Quiche
91,1086,Departamento de Quetzaltenango
91,1087,Departamento del Peten
91,1088,Departamento de Jutiapa
91,1089,Departamento de Jalapa
91,1090,Departamento de Izabal
91,1091,Departamento de Huehuetenango
91,1092,Departamento de Guatemala
91,1093,Departamento de Escuintla
91,1094,Departamento de El Progreso
91,1095,Departamento de Chiquimula
91,1096,Departamento de Chimaltenango
91,1097,Departamento de Baja Verapaz
91,1098,Departamento de Alta Verapaz
92,1099,Guam
93,1118,Tombali
93,1119,Quinara
93,1120,Oio
93,1121,Gabu
93,1122,Cacheu
93,1123,Bolama
93,1124,Bissau
93,1125,Biombo
93,1126,Bafata
94,1127,Upper Takutu-Upper Essequibo Region
94,1128,Upper Demerara-Berbice Region
94,1129,Potaro-Siparuni Region
94,1130,Pomeroon-Supenaam Region
94,1131,Mahaica-Berbice Region
94,1132,Essequibo Islands-West Demerara Region
94,1133,East Berbice-Corentyne Region
94,1134,Demerara-Mahaica Region
94,1135,Cuyuni-Mazaruni Region
94,1136,Barima-Waini Region
95,1137,Yuen Long District
95,1138,Tsuen Wan District
95,1139,Tai Po District
95,1140,Sai Kung District
95,1141,Islands District
95,1142,Central and Western District
95,1143,Wan Chai
95,1144,Eastern
95,1145,Southern
95,1146,Yau Tsim Mong
95,1147,Sham Shui Po
95,1148,Kowloon City
95,1149,Wong Tai Sin
95,1150,Kwon Tong
95,1151,Kwai Tsing
95,1152,Tuen Mun
95,1153,North
95,1154,Sha Tin
96,1155,Heard Island and McDonald Islands (general)
97,1156,Departamento de Yoro
97,1157,Departamento de Valle
97,1158,Departamento de Santa Barbara
97,1159,Departamento de Olancho
97,1160,Departamento de Ocotepeque
97,1161,Departamento de Lempira
97,1162,Departmento de La Paz
97,1163,Departamento de Islas de la Bahia
97,1164,Departamento de Intibuca
97,1165,Departamento de Gracias a Dios
97,1166,Departmento de Francisco Morazan
97,1167,Departamento de El Paraiso
97,1168,Departamento de Cortes
97,1169,Departamento de Copan
97,1170,Departamento de Comayagua
97,1171,Departamento de Colon
97,1172,Departamento de Choluteca
97,1173,Departamento de Atlantida
98,1174,Bjelovarsko-Bilogorska Zupanija
98,1175,Brodsko-Posavska Zupanija
98,1176,Dubrovacko-Neretvanska Zupanija
98,1177,Istarska Zupanija
98,1178,Karlovacka Zupanija
98,1179,Koprivnicko-Krizevacka Zupanija
98,1180,Krapinsko-Zagorska Zupanija
98,1181,Licko-Senjska Zupanija
98,1182,Medimurska Zupanija
98,1183,Osjecko-Baranjska Zupanija
98,1184,Pozesko-Slavonska Zupanija
98,1185,Primorsko-Goranska Zupanija
98,1186,Sibensko-Kninska Zupanija
98,1187,Sisacko-Moslavacka Zupanija
98,1188,Splitsko-Dalmatinska Zupanija
98,1189,Varazdinska Zupanija
98,1190,Vukovarsko-Srijemska Zupanija
98,1191,Zadarska Zupanija
98,1192,Zagrebacka Zupanija
98,1193,Grad Zagreb
98,1194,Viroviticko-Podravska Zupanija
99,1195,Departement du Sud-Est
99,1196,Departement du Sud
99,1197,Departement de l'Ouest
99,1198,Departement du Nord-Ouest
99,1199,Departement du Nord-Est
99,1200,Departement du Nord
99,1201,Departement de la Grand'Anse
99,1202,Departement du Centre
99,1203,Departement de l'Artibonite
99,1204,Departement de Nippes
100,1205,Szabolcs-Szatmar-Bereg
100,1206,Jasz-Nagykun-Szolnok
100,1207,Heves megye
100,1208,Hajdu-Bihar
100,1209,Csongrad megye
100,1210,Borsod-Abauj-Zemplen
100,1211,Bekes megye
100,1212,Zala
100,1213,Veszprem megye
100,1214,Vas
100,1215,Tolna megye
100,1216,Somogy megye
100,1217,Pest megye
100,1218,Nograd megye
100,1219,Komarom-Esztergom
100,1220,Gyor-Moson-Sopron
100,1221,Fejer
100,1222,Budapest fovaros
100,1223,Baranya megye
100,1224,Bacs-Kiskun
100,1225,Erd Megyei Varos
101,1226,North Sumatra
101,1227,Provinsi Nanggroe Aceh Darussalam
101,1228,Daerah Istimewa Yogyakarta
101,1229,South Sumatra
101,1230,West Sumatra
101,1231,North Sulawesi
101,1232,Provinsi Sulawesi Tenggara
101,1233,Central Sulawesi
101,1234,South Sulawesi
101,1235,Provinsi Riau
101,1236,East Nusa Tenggara
101,1237,Propinsi Nusa Tenggara Barat
101,1238,Provinsi Maluku
101,1239,Provinsi Lampung
101,1240,East Kalimantan
101,1241,Provinsi Kalimantan Tengah
101,1242,South Kalimantan
101,1243,West Kalimantan
101,1244,East Java
101,1245,Central Java
101,1246,West Java
101,1247,Provinsi Jambi
101,1248,Daerah Khusus Ibukota Jakarta
101,1249,Provinsi Papua
101,1250,Propinsi Bengkulu
101,1251,Bali
101,1252,Provinsi Banten
101,1253,Propinsi Gorontalo
101,1254,Bangka-Belitung
101,1255,Provinsi Maluku Utara
101,1256,Provinsi Papua Barat
101,1257,Provinsi Sulawesi Barat
101,1258,Riau Islands
102,1259,Connaught
102,1260,Leinster
102,1261,Munster
102,1262,Ulster
103,1263,Jerusalem District
103,1264,Tel Aviv
103,1265,Haifa District
103,1266,Northern District
103,1267,Central District
103,1268,Southern District
104,1269,Isle of Man (general)
105,1270,Bengal
105,1271,Uttar Pradesh
105,1272,State of Tripura
105,1273,State of Tamil Nadu
105,1274,State of Sikkim
105,1275,Rajasthan
105,1276,State of Punjab
105,1277,Union Territory of Puducherry
105,1278,State of Orissa
105,1279,State of Nagaland
105,1280,State of Mizoram
105,1281,State of Meghalaya
105,1282,State of Manipur
105,1283,State of Maharashtra
105,1284,State of Madhya Pradesh
105,1285,Laccadives
105,1286,Kerala
105,1287,State of Karnataka
105,1288,Jammu and Kashmir
105,1289,State of Himachal Pradesh
105,1290,Haryana
105,1291,State of Gujarat
105,1292,Daman and Diu
105,1293,Goa
105,1294,NCT
105,1295,Union Territory of Dadra and Nagar Haveli
105,1296,Union Territory of Chandigarh
105,1297,State of Bihar
105,1298,State of Assam
105,1299,State of Arunachal Pradesh
105,1300,State of Andhra Pradesh
105,1301,Union Territory of Andaman and Nicobar Islands
105,1302,State of Chhattisgarh
105,1303,State of Jharkhand
105,1304,Uttarakhand
106,1305,British Indian Ocean Territory (general)
107,1306,Muhafazat al Basrah
107,1307,Muhafazat Wasit
107,1308,Muhafazat Salah ad Din
107,1309,Muhafazat Ninawa
107,1310,Maysan
107,1311,Muhafazat Karbala'
107,1312,Muhafazat Arbil
107,1313,Diyala
107,1314,Dhi Qar
107,1315,Muhafazat Dahuk
107,1316,Muhafazat Baghdad
107,1317,Muhafazat Babil
107,1318,Muhafazat Kirkuk
107,1319,Muhafazat as Sulaymaniyah
107,1320,Muhafazat an Najaf
107,1321,Muhafazat al Qadisiyah
107,1322,Muhafazat al Muthanna
107,1323,Anbar
108,1324,Ostan-e Tehran
108,1325,Zanjan
108,1326,Ostan-e Yazd
108,1327,Semnan
108,1328,Mazandaran
108,1329,Markazi
108,1330,Ostan-e Lorestan
108,1331,Ostan-e Kordestan
108,1332,Ostan-e Kohgiluyeh va Bowyer Ahmad
108,1333,Ostan-e Khuzestan
108,1334,Ostan-e Kermanshah
108,1335,Ostan-e Kerman
108,1336,Ostan-e Ilam
108,1337,Hormozgan
108,1338,Ostan-e Hamadan
108,1339,Ostan-e Gilan
108,1340,Fars
108,1341,Ostan-e Chahar Mahal va Bakhtiari
108,1342,Bushehr
108,1343,East Azarbaijan
108,1344,Ostan-e Azarbayjan-e Gharbi
108,1345,Ostan-e Ardabil
108,1346,Ostan-e Esfahan
108,1347,Ostan-e Golestan
108,1348,Ostan-e Qazvin
108,1349,Ostan-e Qom
108,1350,Ostan-e Sistan va Baluchestan
108,1351,Ostan-e Khorasan-e Jonubi
108,1352,Razavi Khorasan
108,1353,Ostan-e Khorasan-e Shomali
108,1354,Ostan-e Alborz
109,1355,Northwest
109,1356,Northeast
109,1357,East
109,1358,South
109,1359,Capital Region
109,1360,Southern Peninsula
109,1361,West
109,1362,Westfjords
110,1363,Sicily
110,1364,Sardinia
110,1365,Calabria
110,1366,Veneto
110,1367,Aosta Valley
110,1368,Umbria
110,1369,Trentino-Alto Adige
110,1370,Tuscany
110,1371,Apulia
110,1372,Piedmont
110,1373,Molise
110,1374,The Marches
110,1375,Lombardy
110,1376,Liguria
110,1377,Latium
110,1378,Friuli Venezia Giulia
110,1379,Emilia-Romagna
110,1380,Campania
110,1381,Basilicate
110,1382,Abruzzo
111,1383,Jersey (general)
112,1384,Parish of Westmoreland
112,1385,Parish of Trelawny
112,1386,Parish of Saint Thomas
112,1387,Parish of Saint Mary
112,1388,Parish of Saint James
112,1389,St. Elizabeth
112,1390,Parish of Saint Catherine
112,1391,Parish of Saint Ann
112,1392,Parish of Saint Andrew
112,1393,Parish of Portland
112,1394,Parish of Manchester
112,1395,Kingston
112,1396,Hanover Parish
112,1397,Parish of Clarendon
113,1398,Ma'an
113,1399,Irbid
113,1400,Zarqa
113,1401,Tafielah
113,1402,Amman
113,1403,Mafraq
113,1404,Karak
113,1405,Balqa
113,1406,Ajlun
113,1407,Jerash
113,1408,Aqaba
113,1409,Madaba
114,1410,Yamanashi-ken
114,1411,Yamaguchi-ken
114,1412,Wakayama-ken
114,1413,Toyama-ken
114,1414,Tottori-ken
114,1415,Tokyo-to
114,1416,Tokushima-ken
114,1417,Tochigi-ken
114,1418,Shizuoka-ken
114,1419,Shimane-ken
114,1420,Shiga-ken
114,1421,Saitama-ken
114,1422,Saga-ken
114,1423,Osaka-fu
114,1424,Okinawa-ken
114,1425,Okayama-ken
114,1426,Oita-ken
114,1427,Niigata-ken
114,1428,Nara
114,1429,Nagasaki-ken
114,1430,Nagano-ken
114,1431,Miyazaki-ken
114,1432,Mie-ken
114,1433,Kyoto-fu
114,1434,Kumamoto-ken
114,1435,Kochi-ken
114,1436,Kanagawa-ken
114,1437,Kagoshima-ken
114,1438,Kagawa-ken
114,1439,Ishikawa-ken
114,1440,Hyogo-ken
114,1441,Hiroshima-ken
114,1442,Gunma-ken
114,1443,Gifu-ken
114,1444,Fukuoka-ken
114,1445,Fukui-ken
114,1446,Ehime
114,1447,Aichi-ken
114,1448,Yamagata-ken
114,1449,Miyagi-ken
114,1450,Iwate-ken
114,1451,Ibaraki-ken
114,1452,Fukushima-ken
114,1453,Chiba-ken
114,1454,Akita-ken
114,1455,Hokkaido
114,1456,Aomori-ken
115,1457,Nyanza Province
115,1458,Nairobi Area
115,1459,Coast Province
115,1460,Eastern
115,1461,Central Province
115,1462,Western Province
115,1463,Rift Valley Province
115,1464,North Eastern Province
116,1465,Osh Oblasty
116,1466,Batken Oblasty
116,1467,Talasskaya Oblast'
116,1468,Narynskaya Oblast'
116,1469,Issyk-Kul'skaya Oblast'
116,1470,Gorod Bishkek
116,1471,Jalal-Abad Oblasty
116,1472,Chuy Oblasty
117,1473,Khett Pouthisat
117,1474,Khett Batdambang
117,1475,Khett Takev
117,1476,Khett Svay Rieng
117,1477,Khett Stoeng Treng
117,1478,Otar Meanchey
117,1479,Khett Siem Reab
117,1480,Khett Rotanah Kiri
117,1481,Khett Prey Veng
117,1482,Khett Preah Vihear
117,1483,Krong Phnum Penh
117,1484,Khett Pailin
117,1485,Khett Mondol Kiri
117,1486,Khett Kracheh
117,1487,Khett Keb
117,1488,Khett Kaoh Kong
117,1489,Khett Kandal
117,1490,Khett Kampot
117,1491,Khett Kampong Thum
117,1492,Khett Kampong Spoe
117,1493,Khett Kampong Chhnang
117,1494,Khett Kampong Cham
117,1495,Khett Preah Seihanu
117,1496,Khett Banteay Mean Cheay
118,1497,Gilbert Islands
118,1498,Line Islands
118,1499,Phoenix Islands
119,1500,Ile Autonome de Moheli
119,1501,Ile Autonome de Grande Comore
119,1502,Ile Autonome d'Anjouan
120,1503,Trinity Palmetto Point
120,1504,Saint Thomas Middle Island
120,1505,Saint Thomas Lowland
120,1506,Saint Peter Basseterre
120,1507,Saint Paul Charlestown
120,1508,Saint Paul Capesterre
120,1509,Saint Mary Cayon
120,1510,Saint John Figtree
120,1511,Saint John Capesterre
120,1512,Saint James Windward
120,1513,Saint George Gingerland
120,1514,Saint George Basseterre
120,1515,Saint Anne Sandy Point
120,1516,Christ Church Nichola Town
121,1517,P'yongyang-si
121,1518,P'yongan-namdo
121,1519,P'yongan-bukto
121,1520,Gangwon
121,1521,Hwanghae-namdo
121,1522,Hwanghae-bukto
121,1523,Hamgyong-namdo
121,1524,Yanggang-do
121,1525,Hamgyong-bukto
121,1526,Chagang-do
121,1527,Nason-si
122,1528,Ulsan
122,1529,Daejeon
122,1530,Daegu
122,1531,Seoul
122,1532,Busan
122,1533,North Gyeongsang
122,1534,Gyeonggi
122,1535,Gwangju
122,1536,Gangwon
122,1537,Incheon
122,1538,South Chungcheong
122,1539,North Chungcheong
122,1540,South Jeolla
122,1541,North Jeolla
122,1542,Jeju
122,1543,South Gyeongsang
124,1544,Muhafazat Hawalli
124,1545,Muhafazat al Wafrah
124,1546,Muhafazat al `Asimah
124,1547,Muhafazat Jahra'
124,1548,Al Farwaniyah
124,1549,Muhafazat al Ahmadi
126,1550,Zapadno-Kazakhstanskaya Oblast'
126,1551,Mangistauskaya Oblast'
126,1552,Atyrau Oblysy
126,1553,Aktyubinskaya Oblast'
126,1554,East Kazakhstan
126,1555,Akmolinskaya Oblast'
126,1556,Severo-Kazakhstanskaya Oblast'
126,1557,Pavlodarskaya Oblast'
126,1558,Qyzylorda Oblysy
126,1559,Qostanay Oblysy
126,1560,Karagandinskaya Oblast'
126,1561,Zhambyl Oblysy
126,1562,Yuzhno-Kazakhstanskaya Oblast'
126,1563,Almaty Qalasy
126,1564,Almaty Oblysy
126,1565,Bayqongyr Qalasy
126,1566,Astana Qalasy
127,1567,Khoueng Xiangkhoang
127,1568,Khoueng Xaignabouli
127,1569,Khoueng Viangchan
127,1570,Khoueng Savannakhet
127,1571,Khoueng Salavan
127,1572,Khoueng Phongsali
127,1573,Khoueng Oudomxai
127,1574,Khoueng Louangphabang
127,1575,Khoueng Louangnamtha
127,1576,Khoueng Khammouan
127,1577,Khoueng Houaphan
127,1578,Khoueng Champasak
127,1579,Khoueng Attapu
127,1580,Khoueng Xekong
127,1581,Khoueng Bokeo
127,1582,Khoueng Bolikhamxai
127,1583,Kampheng Nakhon Viangchan
128,1584,Mohafazat Mont-Liban
128,1585,Mohafazat Beyrouth
128,1586,Mohafazat Liban-Nord
128,1587,Mohafazat Liban-Sud
128,1588,Mohafazat Beqaa
128,1589,Mohafazat Nabatiye
128,1590,Mohafazat Aakar
128,1591,Mohafazat Baalbek-Hermel
129,1592,Quarter of Vieux-Fort
129,1593,Quarter of Soufriere
129,1594,Quarter of Praslin
129,1595,Quarter of Micoud
129,1596,Quarter of Laborie
129,1597,Quarter of Gros-Islet
129,1598,Quarter of Dennery
129,1599,Quarter of Dauphin
129,1600,Quarter of Choiseul
129,1601,Quarter of Castries
129,1602,Quarter of Anse-la-Raye
130,1603,Gemeinde Vaduz
130,1604,Gemeinde Triesenberg
130,1605,Gemeinde Triesen
130,1606,Gemeinde Schellenberg
130,1607,Gemeinde Schaan
130,1608,Gemeinde Ruggell
130,1609,Gemeinde Planken
130,1610,Gemeinde Mauren
130,1611,Gemeinde Gamprin
130,1612,Gemeinde Eschen
130,1613,Gemeinde Balzers
131,1614,Western Province
131,1615,Province of Uva
131,1616,Southern Province
131,1617,Province of Sabaragamuwa
131,1618,North Western Province
131,1619,North Eastern Province
131,1620,North Central Province
131,1621,Central Province
132,1622,Sinoe County
132,1623,Nimba County
132,1624,Montserrado County
132,1625,Maryland County
132,1626,Lofa County
132,1627,Grand Gedeh County
132,1628,Grand Cape Mount County
132,1629,Grand Bassa County
132,1630,Bong County
132,1631,Bomi County
132,1632,Grand Kru County
132,1633,Margibi County
132,1634,River Cess County
132,1635,Gbarpolu County
132,1636,River Gee County
133,1637,Thaba-Tseka
133,1638,Quthing
133,1639,Qacha's Nek District
133,1640,Mokhotlong District
133,1641,Mohale's Hoek District
133,1642,Maseru District
133,1643,Mafeteng District
133,1644,Leribe
133,1645,Butha-Buthe
133,1646,Berea
134,1647,Alytaus Apskritis
134,1648,Kauno Apskritis
134,1649,Klaipedos Apskritis
134,1650,Marijampoles Apskritis
134,1651,Panevezio Apskritis
134,1652,Siauliu Apskritis
134,1653,Taurages Apskritis
134,1654,Telsiu Apskritis
134,1655,Utenos Apskritis
134,1656,Vilniaus Apskritis
135,1657,District de Luxembourg
135,1658,District de Grevenmacher
135,1659,District de Diekirch
136,1660,Ventspils Rajons
136,1661,Ventspils
136,1662,Valmieras Rajons
136,1663,Valkas Rajons
136,1664,Tukuma Rajons
136,1665,Talsu Rajons
136,1666,Saldus Rajons
136,1667,Rigas Rajons
136,1668,Riga
136,1669,Rezeknes Rajons
136,1670,Rezekne
136,1671,Preilu Rajons
136,1672,Ogres Rajons
136,1673,Madonas Rajons
136,1674,Ludzas Rajons
136,1675,Limbazu Rajons
136,1676,Liepajas Rajons
136,1677,Liepaja
136,1678,Kuldigas Rajons
136,1679,Kraslavas Rajons
136,1680,Jurmala
136,1681,Jelgavas Rajons
136,1682,Jelgava
136,1683,Jekabpils Rajons
136,1684,Gulbenes Rajons
136,1685,Dobeles Rajons
136,1686,Daugavpils Rajons
136,1687,Daugavpils
136,1688,Cesu Rajons
136,1689,Bauskas Rajons
136,1690,Balvu Rajons
136,1691,Aluksnes Rajons
136,1692,Aizkraukles Rajons
136,1693,Dundagas Novads
136,1694,Alsungas Novads
136,1695,Pavilostas Novads
136,1696,Nicas Novads
136,1697,Rucavas Novads
136,1698,Grobinas Novads
136,1699,Durbes Novads
136,1700,Aizputes Novads
136,1701,Priekules Novads
136,1702,Vainodes Novads
136,1703,Skrundas Novads
136,1704,Brocenu Novads
136,1705,Rojas Novads
136,1706,Kandavas Novads
136,1707,Auces Novads
136,1708,Jaunpils Novads
136,1709,Engures Novads
136,1710,Tervetes Novads
136,1711,Ozolnieku Novads
136,1712,Rundales Novads
136,1713,Babites Novads
136,1714,Marupes Novads
136,1715,Olaines Novads
136,1716,Iecavas Novads
136,1717,Kekavas Novads
136,1718,Salaspils Novads
136,1719,Baldones Novads
136,1720,Stopinu Novads
136,1721,Carnikavas Novads
136,1722,Adazu Novads
136,1723,Garkalnes Novads
136,1724,Vecumnieku Novads
136,1725,Keguma Novads
136,1726,Lielvardes Novads
136,1727,Skriveru Novads
136,1728,Jaunjelgavas Novads
136,1729,Neretas Novads
136,1730,Viesites Novads
136,1731,Salas Novads
136,1732,Jekabpils
136,1733,Aknistes Novads
136,1734,Ilukstes Novads
136,1735,Varkavas Novads
136,1736,Livanu Novads
136,1737,Varaklanu Novads
136,1738,Vilanu Novads
136,1739,Riebinu Novads
136,1740,Aglonas Novads
136,1741,Ciblas Novads
136,1742,Zilupes Novads
136,1743,Vilakas Novads
136,1744,Baltinavas Novads
136,1745,Dagdas Novads
136,1746,Karsavas Novads
136,1747,Rugaju Novads
136,1748,Cesvaines Novads
136,1749,Lubanas Novads
136,1750,Krustpils Novads
136,1751,Plavinu Novads
136,1752,Kokneses Novads
136,1753,Ikskiles Novads
136,1754,Ropazu Novads
136,1755,Incukalna Novads
136,1756,Krimuldas Novads
136,1757,Siguldas Novads
136,1758,Ligatnes Novads
136,1759,Malpils Novads
136,1760,Sejas Novads
136,1761,Saulkrastu Novads
136,1762,Salacgrivas Novads
136,1763,Alojas Novads
136,1764,Nauksenu Novads
136,1765,Rujienas Novads
136,1766,Mazsalacas Novads
136,1767,Burtnieku Novads
136,1768,Pargaujas Novads
136,1769,Kocenu Novads
136,1770,Amatas Novads
136,1771,Priekulu Novads
136,1772,Raunas Novads
136,1773,Strencu Novads
136,1774,Beverinas Novads
136,1775,Smiltenes Novads
136,1776,Jaunpiebalgas Novads
136,1777,Erglu Novads
136,1778,Vecpiebalgas Novads
136,1779,Apes Novads
137,1780,Sha`biyat Darnah
137,1781,Sha`biyat Banghazi
137,1782,Sha`biyat al Maraj
137,1783,Sha`biyat al Kafrah
137,1784,Sha'biyat al Jabal al Akhdar
137,1785,Sha`biyat Tarabulus
137,1786,Sha`biyat Surt
137,1787,Sha`biyat Sabha
137,1788,Sha`biyat Nalut
137,1789,Sha`biyat Murzuq
137,1790,Sha`biyat Misratah
137,1791,Sha`biyat Ghat
137,1792,Sha`biyat az Zawiyah
137,1793,Sha`biyat Wadi ash Shati
137,1794,Sha`biyat al Jafrah
137,1795,Sha`biyat an Nuqat al Khams
137,1796,Sha`biyat al Butnan
137,1797,Sha`biyat al Jabal al Gharbi
137,1798,Sha`biyat al Jafarah
137,1799,Sha`biyat al Marqab
137,1800,Sha'biyat al Wahat
137,1801,Sha'biyat Wadi al Hayat
138,1802,Region de Rabat-Sale-Zemmour-Zaer
138,1803,Region de Meknes-Tafilalet
138,1804,Region de Marrakech-Tensift-Al Haouz
138,1805,Region de Fes-Boulemane
138,1806,Region du Grand Casablanca
138,1807,Region de Chaouia-Ouardigha
138,1808,Region de Doukkala-Abda
138,1809,Region de Gharb-Chrarda-Beni Hssen
138,1810,Region de Guelmim-Es Smara
138,1811,Region de l' Oriental
138,1812,Region de Souss-Massa-Draa
138,1813,Region de Tadla-Azilal
138,1814,Region de Tanger-Tetouan
138,1815,Region de Taza-Al Hoceima-Taounate
138,1816,Laayoune-Boujdour-Sakia El Hamra
138,1817,Oued ed Dahab-Lagouira
139,1818,Commune de Monaco
140,1819,Raionul Edinet
140,1820,Raionul Ungheni
140,1821,Raionul Telenesti
140,1822,Raionul Taraclia
140,1823,Raionul Stefan-Voda
140,1824,Raionul Straseni
140,1825,Raionul Soroca
140,1826,Raionul Riscani
140,1827,Raionul Rezina
140,1828,Raionul Orhei
140,1829,Raionul Ocnita
140,1830,Raionul Anenii Noi
140,1831,Raionul Nisporeni
140,1832,Raionul Leova
140,1833,Raionul Singerei
140,1834,Raionul Criuleni
140,1835,Raionul Ialoveni
140,1836,Municipiul Chisinau
140,1837,Raionul Causeni
140,1838,Raionul Cantemir
140,1839,Raionul Calarasi
140,1840,Raionul Cahul
140,1841,Raionul Glodeni
140,1842,Raionul Floresti
140,1843,Raionul Falesti
140,1844,Raionul Dubasari
140,1845,Raionul Drochia
140,1846,Raionul Donduseni
140,1847,Raionul Cimislia
140,1848,Raionul Briceni
140,1849,Raionul Basarabeasca
140,1850,Raionul Hincesti
140,1851,Raionul Soldanesti
140,1852,Unitatea Teritoriala din Stinga Nistrului
140,1853,Unitate Teritoriala Autonoma Gagauzia
140,1854,Municipiul Bender
140,1855,Municipul Balti
141,1856,Opstina Rozaje
141,1857,Opstina Zabljak
141,1858,Opstina Ulcinj
141,1859,Opstina Tivat
141,1860,Opstina Podgorica
141,1861,Opstina Savnik
141,1862,Opstina Pluzine
141,1863,Opstina Pljevlja
141,1864,Opstina Plav
141,1865,Opstina Niksic
141,1866,Opstina Mojkovac
141,1867,Opstina Kotor
141,1868,Opstina Kolasin
141,1869,Opstina Berane
141,1870,Opstina Herceg Novi
141,1871,Opstina Danilovgrad
141,1872,Opstina Cetinje
141,1873,Opstina Budva
141,1874,Opstina Bijelo Polje
141,1875,Opstina Bar
141,1876,Opstina Andrijevica
143,1877,Faritanin' i Toliara
143,1878,Faritanin' i Toamasina
143,1879,Faritanin' i Mahajanga
143,1880,Faritanin' i Fianarantsoa
143,1881,Faritanin' Antsiranana
143,1882,Faritanin' Antananarivo
144,1883,Ailinginae Atoll
144,1884,Ailinglaplap Atoll
144,1885,Ailuk Atoll
144,1886,Arno Atoll
144,1887,Aur Atoll
144,1888,Bikar Atoll
144,1889,Bikini Atoll
144,1890,Ebon Atoll
144,1891,Enewetak Atoll
144,1892,Erikub Atoll
144,1893,Jaluit Atoll
144,1894,Kwajalein Atoll
144,1895,Lae Atoll
144,1896,Likiep Atoll
144,1897,Majuro Atoll
144,1898,Maloelap Atoll
144,1899,Mili Atoll
144,1900,Namdrik Atoll
144,1901,Namu Atoll
144,1902,Rongelap Atoll
144,1903,Rongrik Atoll
144,1904,Taka Atoll
144,1905,Bokak Atoll
144,1906,Ujae Atoll
144,1907,Agelong Atoll
144,1908,Utrik Atoll
144,1909,Wotho Atoll
144,1910,Wotje Atoll
144,1911,Jabat Island
144,1912,Jemo Island
144,1913,Kili Island
144,1914,Lib Island
144,1915,Mejit Island
145,1916,Opstina Valandovo
145,1917,Opstina Resen
145,1918,Opstina Kratovo
145,1919,Opstina Pehcevo
145,1920,Opstina Novo Selo
145,1921,Opstina Bosilovo
145,1922,Opstina Vasilevo
145,1923,Opstina Dojran
145,1924,Opstina Bogdanci
145,1925,Opstina Konce
145,1926,Opstina Makedonska Kamenica
145,1927,Opstina Zrnovci
145,1928,Opstina Karbinci
145,1929,Opstina Demir Kapija
145,1930,Opstina Rosoman
145,1931,Opstina Gradsko
145,1932,Opstina Lozovo
145,1933,Opstina Cesinovo
145,1934,Opstina Novaci
145,1935,Opstina Berovo
145,1936,Opstina Bitola
145,1937,Opstina Mogila
145,1938,Opstina Aracinovo
145,1939,Opstina Bogovinje
145,1940,Opstina Brvenica
145,1941,Opstina Cair
145,1942,Opstina Caska
145,1943,Opstina Centar
145,1944,Opstina Centar Zupa
145,1945,Opstina Cucer-Sandevo
145,1946,Opstina Debar
145,1947,Opstina Delcevo
145,1948,Opstina Demir Hisar
145,1949,Opstina Dolneni
145,1950,Opstina Gjorce Petrov
